Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,RPA,Latitude,Longitude,Mapped Location
PD202000356186,05/03/2020 01:25:59 AM,,,96,,,,12,,,,823C,MT,821K,8007,,,
PD202000356187,05/03/2020 01:26:19 AM,,,87,,P,PROGRESS,6,,,,211C,E,225,1882,,,
PD202000356188,05/03/2020 01:31:17 AM,,,96,,,,4,,,,815C,MT,815N,5901,,,
PD202000356190,05/03/2020 01:31:57 AM,,,96,,,,12,,,,833C,MT,835K,8655,,,
PD202000356191,05/03/2020 01:32:29 AM,,,71,,A,ALARM,12,,0,WHITE BRIDGE PKE,117C,,134X,0,36.13,-86.855,POINT (-86.855 36.13)
PD202000356195,05/03/2020 01:34:22 AM,,,43,,P,PROGRESS,15,,,,425C,C,425K,4027,,,
PD202000356196,05/03/2020 01:34:25 AM,,,96,,,,15,,,,4F84,C,415N,4137,,,
PD202000356197,05/03/2020 01:35:17 AM,20200312861,,71,,A,ALARM,6,,,,320C,,,,,,
PD202000356199,05/03/2020 01:37:23 AM,,,96,,,,15,,,,425C,C,425,4005,,,
PD202000356200,05/03/2020 01:37:44 AM,,,93,,,,9T,,,,5922,MT,813,5615,,,
PD202000356201,05/03/2020 01:37:57 AM,,,40,,PV,,9S,,,,535C,H,535K,8939,,,
PD202000356202,05/03/2020 01:38:39 AM,,,44,,P,PROGRESS,6,,,,314C,S,315K,8873,,,
PD202000356203,05/03/2020 01:40:31 AM,,,96,,,,12,,,,122C,W,125K,4815,,,
PD202000356204,05/03/2020 01:41:26 AM,,,43,,P,PROGRESS,4,,,OLD LEBANON DIRT RD,521C,,521,9511,36.178,-86.617,POINT (-86.617 36.178)
PD202000356205,05/03/2020 01:41:37 AM,,,96,,,,12,,,,823C,MT,823,6957,,,
PD202000356206,05/03/2020 01:41:39 AM,,,96,,,,12,,,,833C,MT,835N,8651,,,
PD202000356207,05/03/2020 01:45:13 AM,,,40,,P,PROGRESS,5,,,,221C,E,221N,1967,,,
PD202000356208,05/03/2020 01:46:46 AM,,,87,,P,PROGRESS,5,,,,211C,E,211N,1004,,,
PD202000356209,05/03/2020 01:47:31 AM,,,96,,,,12,,,,833C,MT,835,8651,,,
PD202000356210,05/03/2020 01:47:49 AM,,,93,,,,6T,,,,511C,S,311,8117,,,
PD202000356211,05/03/2020 01:48:15 AM,20200312869,,43,,R,REPORT,1,,,,221C,,,,,,
PD202000356212,05/03/2020 01:48:28 AM,,,96,,,,12,,,,211C,E,217K,1401,,,
PD202000356215,05/03/2020 01:49:34 AM,,,43,,P,PROGRESS,6,,,,725C,M,725,2215,,,
PD202000356216,05/03/2020 01:49:58 AM,,,96,,,,12,,,,823C,MT,823H,6921,,,
PD202000356219,05/03/2020 01:51:18 AM,,,43,,P,PROGRESS,4,,2200,LEBANON PKE,517C,,,,,,
PD202000356220,05/03/2020 01:52:27 AM,,,15,,P,PROGRESS,12,,,,835C,MT,833,8621,,,
PD202000356222,05/03/2020 01:53:27 AM,,,96,,,,12,,,,835C,MT,835N,8651,,,
