Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,RPA,Latitude,Longitude,Mapped Location
PD202000175005,03/03/2020 12:47:01 AM,,,71,,A,ALARM,13,,,,315A,C,413,,,,
PD202000175006,03/03/2020 12:47:11 AM,,,87,,T,TRAFFIC/DIRECTED TRAFFIC,4,,,,413A,C,413,4213,,,
PD202000175008,03/03/2020 12:47:31 AM,,,70,,A,ALARM,6,,,,211C,E,227K,1999,,,
PD202000175007,03/03/2020 12:47:31 AM,,,71,,A,ALARM,12,,,,315C,E,215,,,,
PD202000175009,03/03/2020 12:47:40 AM,,,71,,A,ALARM,12,,,,821C,E,213,,,,
PD202000175011,03/03/2020 12:47:58 AM,,,70,,A,ALARM,12,,,,615C,N,617,4323,,,
PD202000175012,03/03/2020 12:48:01 AM,,,71,,A,ALARM,12,,,,227A,E,227,,,,
PD202000175013,03/03/2020 12:48:04 AM,,,96,,,,12,,,,333C,S,335K,8927,,,
PD202000175014,03/03/2020 12:49:23 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,722C,N,613N,4467,,,
PD202000175015,03/03/2020 12:49:35 AM,,,71,,A,ALARM,12A,,,,220C1,E,227,,,,
PD202000175016,03/03/2020 12:49:54 AM,,,71,,A,ALARM,12,,,,723C,N,615,,,,
PD202000175017,03/03/2020 12:50:41 AM,,,87,,P,PROGRESS,6,,,,615C,N,617,4309,,,
PD202000175019,03/03/2020 12:50:51 AM,,,71,,A,ALARM,12,,,,511C,H,513,,,,
PD202000175020,03/03/2020 12:50:52 AM,,,71,,A,ALARM,13,,,,627C,N,621,,,,
PD202000175021,03/03/2020 12:51:02 AM,,,71,,A,ALARM,13,,,,421A,C,413,,,,
PD202000175022,03/03/2020 12:51:32 AM,,,71,,A,ALARM,11,,,,821C,MT,825,,,,
PD202000175023,03/03/2020 12:51:36 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,C,413K,1957,,,
PD202000175024,03/03/2020 12:51:44 AM,,,43,,P,PROGRESS,4,,1300,MURFREESBORO PKE,317C,,321V,0,36.116,-86.697,POINT (-86.697 36.116)
PD202000175026,03/03/2020 12:52:02 AM,,,71,,A,ALARM,12A,,,,220C1,E,213,,,,
PD202000175025,03/03/2020 12:52:02 AM,,,71,,A,ALARM,12,,,,616C,N,611,,,,
PD202000175027,03/03/2020 12:52:04 AM,,,43,,P,PROGRESS,6,,,,421C,C,413,4237,,,
PD202000175028,03/03/2020 12:52:10 AM,,,71,,A,ALARM,11,,,,,M,727,,,,
PD202000175030,03/03/2020 12:52:15 AM,,,71,,A,ALARM,12,,,,615C,N,617N,4317,,,
PD202000175032,03/03/2020 12:52:53 AM,,,87,,P,PROGRESS,5,,,,622C,N,613N,44040,,,
PD202000175033,03/03/2020 12:53:12 AM,,,71,,A,ALARM,4,,,,112C,W,115,,,,
PD202000175035,03/03/2020 12:53:41 AM,,,71,,A,ALARM,4,,,,545B,H,517,,,,
PD202000175036,03/03/2020 12:53:44 AM,,,88,,PW,,11,,,,,E,215,1355,,,
PD202000175037,03/03/2020 12:53:49 AM,,,96,,,,12,,,,835C,MT,833,8621,,,
PD202000175040,03/03/2020 12:54:41 AM,,,71,,A,ALARM,12,,,,5D56B,H,521,,,,
PD202000175039,03/03/2020 12:54:41 AM,,,71,,A,ALARM,10,,,,627C,N,621,,,,
PD202000175042,03/03/2020 12:55:10 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,627C,N,617K,4239,,,
PD202000175043,03/03/2020 12:55:12 AM,,,45,,P,PROGRESS,10,,,,7F71,N,613N,44021,,,
PD202000175044,03/03/2020 12:55:17 AM,,,96,,,,12,,700,S GALLATIN PKE,711C,711,711,1625,,,
PD202000175045,03/03/2020 12:55:22 AM,,,71,,A,ALARM,6,,,,385A,H,521,,,,
PD202000175046,03/03/2020 12:55:34 AM,,,71,,A,ALARM,13A,,,,723C,N,627,,,,
PD202000175047,03/03/2020 12:55:35 AM,,,87,,P,PROGRESS,11,,,,411C,C,413,4231,,,
PD202000175048,03/03/2020 12:55:42 AM,,,71,,A,ALARM,11,,,,,M,725,,,,
PD202000175049,03/03/2020 12:55:52 AM,,,71,,A,ALARM,12,,,,515C,H,521,,,,
PD202000175051,03/03/2020 12:56:31 AM,,,71,,A,ALARM,12,,,,521C,H,521,,,,
PD202000175052,03/03/2020 12:56:51 AM,,,71,,A,ALARM,12,,,,622C,N,621,,,,
PD202000175053,03/03/2020 12:56:58 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,223C,E,215,1307,,,
PD202000175054,03/03/2020 12:57:19 AM,,,96,,,,12,,,,811C,MT,811,5527,,,
PD202000175055,03/03/2020 12:57:20 AM,,,70,,A,ALARM,4,,,,511A,H,523,,,,
PD202000175056,03/03/2020 12:57:22 AM,,,71,,A,ALARM,13,,,,5D56B,H,513,,,,
PD202000175057,03/03/2020 12:57:30 AM,,,71,,A,ALARM,12,,,,383A,H,521,,,,
PD202000175058,03/03/2020 12:57:32 AM,,,96,,,,12,,,,5273,S,315,8803,,,
PD202000175059,03/03/2020 12:57:40 AM,,,70,,A,ALARM,4,,,,120C,W,121,,,,
PD202000175060,03/03/2020 12:58:07 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,N,617N,4309,,,
PD202000175061,03/03/2020 12:58:08 AM,,,87,,P,PROGRESS,4,,,,332C,S,331,8719,,,
PD202000175062,03/03/2020 12:58:36 AM,,,70,,A,ALARM,4,,,,511A,H,523,,,,
PD202000175063,03/03/2020 12:58:49 AM,,,43,,P,PROGRESS,11,,,,727C,N,617N,4307,,,
PD202000175064,03/03/2020 12:59:35 AM,,,71,,A,ALARM,13,,,,8T71,H,523,,,,
PD202000175065,03/03/2020 12:59:39 AM,,,96,,,,4,,,,5272,S,333,8865,,,
PD202000175066,03/03/2020 12:59:42 AM,,,71,,A,ALARM,12,,,,5122,H,523,,,,
PD202000175069,03/03/2020 01:00:21 AM,,,45,,P,PROGRESS,11,,,,,MT,815,5819,,,
PD202000175070,03/03/2020 01:00:43 AM,,,71,,A,ALARM,11,,1700,GALLATIN PKE N,,M,727,1721,,,
PD202000175071,03/03/2020 01:00:44 AM,,,71,,A,ALARM,12,,,,515C,H,521,,,,
PD202000175072,03/03/2020 01:01:14 AM,,,87,,P,PROGRESS,4,,,,211C,E,227,1995,,,
PD202000175073,03/03/2020 01:01:21 AM,20200150957,,43,,P,PROGRESS,6,,,,611C,N,617N,4307,,,
PD202000175074,03/03/2020 01:01:41 AM,,,73,,P,PROGRESS,11,,,,,E,213N,1253,,,
PD202000175075,03/03/2020 01:01:49 AM,,,71,,A,ALARM,12,,,,211C,E,213,,,,
PD202000175076,03/03/2020 01:02:16 AM,,,87,,P,PROGRESS,6,,,,217C,E,211,1109,,,
PD202000175077,03/03/2020 01:02:56 AM,,,87,,P,PROGRESS,4,,,,5153,C,413,1985,,,
PD202000175078,03/03/2020 01:03:03 AM,,,43,,P,PROGRESS,11,,,,,N,617N,4307,,,
PD202000175079,03/03/2020 01:03:32 AM,,,71,,A,ALARM,4,,,,323A,H,521,,,,
PD202000175080,03/03/2020 01:04:44 AM,,,87,,P,PROGRESS,6,,,,610C,N,613,4469,,,
PD202000175081,03/03/2020 01:04:45 AM,,,71,,A,ALARM,11,,1000,GALLATIN PKE S,,M,711,1507,,,
PD202000175082,03/03/2020 01:05:14 AM,,,71,,A,ALARM,12A,,,,220C1,E,213,,,,
PD202000175083,03/03/2020 01:05:53 AM,,,71,,A,ALARM,12,,,,721C,M,721,,,,
PD202000175084,03/03/2020 01:05:54 AM,,,61,,P,PROGRESS,11,,,,722C,N,617,4239,,,
PD202000175085,03/03/2020 01:06:00 AM,,,45,,P,PROGRESS,1,,400,MYATT DR,722C,M,715,1715,,,
PD202000175086,03/03/2020 01:06:24 AM,,,87,,P,PROGRESS,6,,,,714C,N,613,4463,,,
PD202000175087,03/03/2020 01:06:34 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,6,,,,823C,E,213,1239,,,
PD202000175089,03/03/2020 01:06:54 AM,,,87,,T,TRAFFIC/DIRECTED TRAFFIC,4,,,,227C,E,215,1355,,,
PD202000175090,03/03/2020 01:07:22 AM,,,71,,A,ALARM,12A,,,,220C1,E,213,,,,
PD202000175091,03/03/2020 01:07:32 AM,,,71,,A,ALARM,12,,1000,GALLATIN PKE S,712C,M,711,1507,,,
PD202000175092,03/03/2020 01:08:41 AM,,,43,,P,PROGRESS,4,,600,S GALLATIN PKE,711C,713,713,1605,,,
